"","names","ourls","wons","ids","lons","lats","sDate"
"249","Rosslyn Bay Harbour","/products/IDQ60801/IDQ60801.95298.shtml","95298","IDQ60801","150.7901","-23.161","1992"
"250","St Lawrence","/products/IDQ60801/IDQ60801.95369.shtml","95369","IDQ60801","149.5242","-22.3472","2004"
"251","Williamson","/products/IDQ60801/IDQ60801.95370.shtml","95370","IDQ60801","150.1786","-22.4703","2005"
"252","Samuel Hill","/products/IDQ60801/IDQ60801.94370.shtml","94370","IDQ60801","150.6578","-22.7433","1997"
"253","Yeppoon","/products/IDQ60801/IDQ60801.94373.shtml","94373","IDQ60801","150.7506","-23.1364","1993"
"254","Blackwater Airport","/products/IDQ60801/IDQ60801.94398.shtml","94398","IDQ60801","148.8074","-23.6015","2013"
"255","Clermont Airport","/products/IDQ60801/IDQ60801.94395.shtml","94395","IDQ60801","147.6217","-22.7756","2010"
"256","Emerald","/products/IDQ60801/IDQ60801.94363.shtml","94363","IDQ60801","148.1756","-23.5694","1981"
"257","Lochington","/products/IDQ60801/IDQ60801.94399.shtml","94399","IDQ60801","147.525","-23.9424","2010"
"258","Moranbah Airport","/products/IDQ60801/IDQ60801.94397.shtml","94397","IDQ60801","148.0758","-22.0644","2012"
"259","Rolleston Airport","/products/IDQ60801/IDQ60801.94396.shtml","94396","IDQ60801","148.6264","-24.4617","2010"
"260","Springsure","/products/IDQ60801/IDQ60801.95362.shtml","95362","IDQ60801","148.0856","-24.123","1865"
"261","Taroom","/products/IDQ60801/IDQ60801.94525.shtml","94525","IDQ60801","149.7958","-25.6408","1870"
"262","Barcaldine","/products/IDQ60801/IDQ60801.94350.shtml","94350","IDQ60801","145.2883","-23.5544","1886"
"263","Blackall","/products/IDQ60801/IDQ60801.95351.shtml","95351","IDQ60801","145.4306","-24.4303","2001"
"264","Isisford","/products/IDQ60801/IDQ60801.94345.shtml","94345","IDQ60801","144.4406","-24.2591","1885"
"265","Longreach","/products/IDQ60801/IDQ60801.94346.shtml","94346","IDQ60801","144.2828","-23.4397","1949"
"266","Tambo","/products/IDQ60801/IDQ60801.94355.shtml","94355","IDQ60801","146.2564","-24.8819","1877"
"267","Winton","/products/IDQ60801/IDQ60801.94342.shtml","94342","IDQ60801","143.0836","-22.3617","2002"
"268","Camooweal","/products/IDQ60801/IDQ60801.94255.shtml","94255","IDQ60801","138.1214","-19.9225","1891"
"269","Carters Bore","/products/IDQ60801/IDQ60801.94347.shtml","94347","IDQ60801","139.2964","-20.9358","2014"
"270","Cloncurry","/products/IDQ60801/IDQ60801.94335.shtml","94335","IDQ60801","140.505","-20.6664","1978"
"271","Julia Creek","/products/IDQ60801/IDQ60801.94337.shtml","94337","IDQ60801","141.7214","-20.6672","2001"
"272","Lake Julius","/products/IDQ60801/IDQ60801.94348.shtml","94348","IDQ60801","139.7256","-20.1167","2013"
"273","Mount Isa","/products/IDQ60801/IDQ60801.94332.shtml","94332","IDQ60801","139.4875","-20.6778","1966"
"274","New May Downs","/products/IDQ60801/IDQ60801.94349.shtml","94349","IDQ60801","139.3411","-20.59","2013"
"275","The Monument","/products/IDQ60801/IDQ60801.94336.shtml","94336","IDQ60801","139.9267","-21.8125","2000"
"276","Trepell","/products/IDQ60801/IDQ60801.94338.shtml","94338","IDQ60801","140.8925","-21.84","2001"
"277","Urandangi","/products/IDQ60801/IDQ60801.94344.shtml","94344","IDQ60801","138.3665","-21.5979","2012"
"278","Ballera","/products/IDQ60801/IDQ60801.95487.shtml","95487","IDQ60801","141.8114","-27.4008","1998"
"279","Birdsville","/products/IDQ60801/IDQ60801.95482.shtml","95482","IDQ60801","139.3472","-25.8975","2000"
"280","Thargomindah","/products/IDQ60801/IDQ60801.95492.shtml","95492","IDQ60801","143.815","-27.9867","1999"
"281","Windorah","/products/IDQ60801/IDQ60801.94489.shtml","94489","IDQ60801","0","0","0"
"282","Bollon","/products/IDQ60801/IDQ60801.94513.shtml","94513","IDQ60801","147.4795","-28.0331","1885"
"283","Charleville","/products/IDQ60801/IDQ60801.94510.shtml","94510","IDQ60801","146.2558","-26.4139","1942"
"284","Cunnamulla","/products/IDQ60801/IDQ60801.94500.shtml","94500","IDQ60801","145.6822","-28.0689","1879"
"285","Injune","/products/IDQ60801/IDQ60801.94511.shtml","94511","IDQ60801","148.5669","-25.8428","1925"
"286","Mitchell","/products/IDQ60801/IDQ60801.94514.shtml","94514","IDQ60801","147.9777","-26.4888","1884"
"287","Roma","/products/IDQ60801/IDQ60801.94515.shtml","94515","IDQ60801","148.771","-26.5477","1985"
"288","St George","/products/IDQ60801/IDQ60801.94517.shtml","94517","IDQ60801","148.5942","-28.0489","1997"
"289","Surat","/products/IDQ60801/IDQ60801.94521.shtml","94521","IDQ60801","149.0702","-27.1591","1881"
"290","Applethorpe","/products/IDQ60801/IDQ60801.94553.shtml","94553","IDQ60801","151.9533","-28.6217","1965"
"291","Dalby","/products/IDQ60801/IDQ60801.94542.shtml","94542","IDQ60801","151.2634","-27.1605","1992"
"292","Miles","/products/IDQ60801/IDQ60801.95529.shtml","95529","IDQ60801","150.1819","-26.6569","1997"
"293","Oakey","/products/IDQ60801/IDQ60801.94552.shtml","94552","IDQ60801","151.7413","-27.4034","1970"
"294","Stanthorpe","/products/IDQ60801/IDQ60801.94550.shtml","94550","IDQ60801","151.9339","-28.6617","1873"
"295","Texas","/products/IDQ60801/IDQ60801.95533.shtml","95533","IDQ60801","151.1681","-28.8544","1897"
"296","Toowoomba","/products/IDQ60801/IDQ60801.95551.shtml","95551","IDQ60801","151.9134","-27.5425","1996"
"297","Warwick","/products/IDQ60801/IDQ60801.94555.shtml","94555","IDQ60801","152.1003","-28.2061","1994"
"298","Wellcamp Airport","/products/IDQ60801/IDQ60801.99435.shtml","99435","IDQ60801","0","0","0"
"299","Bundaberg","/products/IDQ60801/IDQ60801.94387.shtml","94387","IDQ60801","152.323","-24.9069","1942"
"300","Double Island Point","/products/IDQ60801/IDQ60801.94584.shtml","94584","IDQ60801","153.1906","-25.9319","1891"
"301","Gayndah","/products/IDQ60801/IDQ60801.95543.shtml","95543","IDQ60801","151.6156","-25.6167","2003"
"302","Gympie","/products/IDQ60801/IDQ60801.94566.shtml","94566","IDQ60801","152.6414","-26.1831","1870"
"303","Hervey Bay","/products/IDQ60801/IDQ60801.95565.shtml","95565","IDQ60801","152.8817","-25.322","1999"
"304","Kingaroy","/products/IDQ60801/IDQ60801.94549.shtml","94549","IDQ60801","151.8398","-26.5737","2001"
"305","Lady Elliot Island","/products/IDQ60801/IDQ60801.94388.shtml","94388","IDQ60801","152.7161","-24.1116","1939"
"306","Maryborough","/products/IDQ60801/IDQ60801.94567.shtml","94567","IDQ60801","152.7152","-25.5132","1870"
"307","Monto Township","/products/IDQ60801/IDQ60801.94377.shtml","94377","IDQ60801","151.1247","-24.8642","1930"
"308","Rainbow Beach","/products/IDQ60801/IDQ60801.94564.shtml","94564","IDQ60801","153.0891","-25.9007","1992"
"309","Sandy Cape","/products/IDQ60801/IDQ60801.94390.shtml","94390","IDQ60801","153.2083","-24.7297","1871"
"310","Seventeen Seventy","/products/IDQ60801/IDQ60801.94384.shtml","94384","IDQ60801","151.8889","-24.1568","1986"
"311","Tin Can Bay (Defence)","/products/IDQ60801/IDQ60801.94420.shtml","94420","IDQ60801","0","0","0"
"312","Amberley","/products/IDQ60801/IDQ60801.94568.shtml","94568","IDQ60801","152.7111","-27.6297","1941"
"313","Archerfield","/products/IDQ60801/IDQ60801.94575.shtml","94575","IDQ60801","153.0078","-27.5717","1929"
"314","Banana Bank","/products/IDQ60801/IDQ60801.94591.shtml","94591","IDQ60801","153.3333","-27.5327","2002"
"315","Beerburrum","/products/IDQ60801/IDQ60801.95566.shtml","95566","IDQ60801","152.9619","-26.9586","1898"
"316","Beaudesert AWS","/products/IDQ60801/IDQ60801.95575.shtml","95575","IDQ60801","152.9898","-27.9707","2007"
"317","Brisbane","/products/IDQ60801/IDQ60801.94576.shtml","94576","IDQ60801","153.0389","-27.4808","1999"
"318","Brisbane Airport","/products/IDQ60801/IDQ60801.94578.shtml","94578","IDQ60801","153.1292","-27.3917","1992"
"319","Canungra (Defence)","/products/IDQ60801/IDQ60801.94418.shtml","94418","IDQ60801","0","0","0"
"320","Cape Moreton","/products/IDQ60801/IDQ60801.94594.shtml","94594","IDQ60801","153.4661","-27.0314","1869"
"321","Coolangatta","/products/IDQ60801/IDQ60801.94592.shtml","94592","IDQ60801","153.5053","-28.1681","1982"
"322","Gatton","/products/IDQ60801/IDQ60801.94562.shtml","94562","IDQ60801","152.3375","-27.5436","1897"
"323","Gold Coast Seaway","/products/IDQ60801/IDQ60801.94580.shtml","94580","IDQ60801","153.4283","-27.939","1987"
"324","Greenbank (Defence)","/products/IDQ60801/IDQ60801.94419.shtml","94419","IDQ60801","0","0","0"
"325","Logan City","/products/IDQ60801/IDQ60801.95581.shtml","95581","IDQ60801","153.1947","-27.6839","1992"
"326","Nambour","/products/IDQ60801/IDQ60801.95572.shtml","95572","IDQ60801","152.9383","-26.6442","2007"
"327","Point Lookout","/products/IDQ60801/IDQ60801.94593.shtml","94593","IDQ60801","153.5456","-27.4361","1997"
"328","Rainbow Beach","/products/IDQ60801/IDQ60801.94564.shtml","94564","IDQ60801","153.0891","-25.9007","1992"
"329","Redcliffe","/products/IDQ60801/IDQ60801.95591.shtml","95591","IDQ60801","153.0922","-27.2169","2003"
"330","Redland (Alexandra Hills)","/products/IDQ60801/IDQ60801.94561.shtml","94561","IDQ60801","153.2394","-27.5433","2015"
"331","Spitfire Channel","/products/IDQ60801/IDQ60801.94581.shtml","94581","IDQ60801","153.2664","-27.0481","2002"
"332","Sunshine Coast Airport","/products/IDQ60801/IDQ60801.94569.shtml","94569","IDQ60801","153.0903","-26.6006","1994"
"333","Tewantin","/products/IDQ60801/IDQ60801.94570.shtml","94570","IDQ60801","153.0403","-26.3911","1995"
"334","Bougainville Reef","/products/IDQ60801/IDQ60801.95288.shtml","95288","IDQ60801","147.1183","-15.4877","1992"
"335","Cato Island","/products/IDQ60801/IDQ60801.94394.shtml","94394","IDQ60801","155.542","-23.2503","1966"
"336","Creal Reef","/products/IDQ60801/IDQ60801.94371.shtml","94371","IDQ60801","150.3773","-20.5303","1972"
"337","Flinders Reef","/products/IDQ60801/IDQ60801.94290.shtml","94290","IDQ60801","148.4478","-17.7195","1970"
"338","Frederick Reef","/products/IDQ60801/IDQ60801.94393.shtml","94393","IDQ60801","154.4019","-20.9375","1968"
"339","Gannett Cay","/products/IDQ60801/IDQ60801.94379.shtml","94379","IDQ60801","152.4707","-21.9769","1972"
"340","Holmes Reef","/products/IDQ60801/IDQ60801.94289.shtml","94289","IDQ60801","147.8734","-16.4683","1972"
"341","Marion Reef","/products/IDQ60801/IDQ60801.94298.shtml","94298","IDQ60801","152.3892","-19.0964","1971"
"342","Willis Island","/products/IDQ60801/IDQ60801.94299.shtml","94299","IDQ60801","149.9652","-16.2878","1921"
"343","PORTABLE QFRG NR","/products/IDQ60801/IDQ60801.99115.shtml","99115","IDQ60801","0","0","0"
"344","PORTABLE QFRI (Inglewood)","/products/IDQ60801/IDQ60801.99122.shtml","99122","IDQ60801","0","0","0"
"345","PORTABLE QFRJ (North Tamborine)","/products/IDQ60801/IDQ60801.99123.shtml","99123","IDQ60801","0","0","0"
"346","PORTABLE QFRK (Ravenshoe)","/products/IDQ60801/IDQ60801.99124.shtml","99124","IDQ60801","0","0","0"
"347","PORTABLE QFRL (Mt Fox)","/products/IDQ60801/IDQ60801.99125.shtml","99125","IDQ60801","0","0","0"
"348","King Island Airport","/products/IDT60801/IDT60801.94850.shtml","94850","IDT60801","143.8829","-39.8801","1962"
"349","Burnie Port","/products/IDT60801/IDT60801.95963.shtml","95963","IDT60801","145.9149","-41.05","1992"
"350","Cape Grim","/products/IDT60801/IDT60801.95954.shtml","95954","IDT60801","144.6922","-40.6764","2010"
"351","Devonport Airport","/products/IDT60801/IDT60801.95960.shtml","95960","IDT60801","146.4289","-41.1701","1962"
"352","Luncheon Hill","/products/IDT60801/IDT60801.95956.shtml","95956","IDT60801","145.1517","-41.1492","1989"
"353","Marrawah","/products/IDT60801/IDT60801.94950.shtml","94950","IDT60801","144.7094","-40.9089","1971"
"354","Sheffield","/products/IDT60801/IDT60801.94955.shtml","94955","IDT60801","146.3219","-41.3886","1996"
"355","Smithton","/products/IDT60801/IDT60801.94953.shtml","94953","IDT60801","145.0847","-40.8347","1996"
"356","Wynyard","/products/IDT60801/IDT60801.95957.shtml","95957","IDT60801","145.7311","-40.9964","1947"
"357","Cressy","/products/IDT60801/IDT60801.95969.shtml","95969","IDT60801","147.0794","-41.7256","1999"
"358","Launceston","/products/IDT60801/IDT60801.94969.shtml","94969","IDT60801","147.1219","-41.4194","1980"
"359","Launceston Airport","/products/IDT60801/IDT60801.95966.shtml","95966","IDT60801","147.2144","-41.5492","2004"
"360","Low Head","/products/IDT60801/IDT60801.95964.shtml","95964","IDT60801","146.7874","-41.0547","1997"
"361","Flinders Island Airport","/products/IDT60801/IDT60801.94980.shtml","94980","IDT60801","148.0024","-40.0911","1942"
"362","Hogan Island","/products/IDT60801/IDT60801.94949.shtml","94949","IDT60801","146.9841","-39.2225","1988"
"363","Larapuna (Eddystone Point)","/products/IDT60801/IDT60801.94983.shtml","94983","IDT60801","148.3467","-40.9928","1908"
"364","Scottsdale","/products/IDT60801/IDT60801.94972.shtml","94972","IDT60801","147.4883","-41.1708","1971"
"365","Swan Island","/products/IDT60801/IDT60801.95985.shtml","95985","IDT60801","148.125","-40.7292","2001"
"366","Ross","/products/IDT60801/IDT60801.94985.shtml","94985","IDT60801","147.4953","-42.025","1993"
"367","Melton Mowbray","/products/IDT60801/IDT60801.94971.shtml","94971","IDT60801","147.1981","-42.4928","1996"
"368","Tunnack","/products/IDT60801/IDT60801.94960.shtml","94960","IDT60801","147.4612","-42.4543","1997"
"369","Cape Sorell","/products/IDT60801/IDT60801.94974.shtml","94974","IDT60801","145.17","-42.1986","1899"
"370","Low Rocky Point","/products/IDT60801/IDT60801.95961.shtml","95961","IDT60801","145.5025","-42.9831","1992"
"371","Maatsuyker Island","/products/IDT60801/IDT60801.94962.shtml","94962","IDT60801","146.2711","-43.6578","1891"
"372","Maydena","/products/IDT60801/IDT60801.94963.shtml","94963","IDT60801","146.6239","-42.7567","1992"
"373","Mount Read","/products/IDT60801/IDT60801.95952.shtml","95952","IDT60801","145.5417","-41.8444","1996"
"374","Scotts Peak","/products/IDT60801/IDT60801.95958.shtml","95958","IDT60801","146.2722","-43.0425","1992"
"375","Strahan","/products/IDT60801/IDT60801.94956.shtml","94956","IDT60801","145.2908","-42.155","1976"
"376","Warra","/products/IDT60801/IDT60801.95962.shtml","95962","IDT60801","146.704","-43.0609","2004"
"377","Butlers Gorge","/products/IDT60801/IDT60801.94959.shtml","94959","IDT60801","146.2758","-42.2753","1941"
"378","Lake St Clair","/products/IDT60801/IDT60801.94976.shtml","94976","IDT60801","146.1772","-42.1178","1989"
"379","Liawenee","/products/IDT60801/IDT60801.95959.shtml","95959","IDT60801","146.6694","-41.8997","2001"
"380","Bushy Park","/products/IDT60801/IDT60801.94964.shtml","94964","IDT60801","146.8983","-42.7097","1874"
"381","Ouse","/products/IDT60801/IDT60801.94957.shtml","94957","IDT60801","146.7106","-42.4842","1973"
"382","Fingal","/products/IDT60801/IDT60801.95974.shtml","95974","IDT60801","147.9664","-41.6428","1882"
"383","Friendly Beaches","/products/IDT60801/IDT60801.94987.shtml","94987","IDT60801","148.2794","-41.9953","1997"
"384","Lake Leake","/products/IDT60801/IDT60801.94979.shtml","94979","IDT60801","147.7975","-42.0067","1890"
"385","Maria Island","/products/IDT60801/IDT60801.95988.shtml","95988","IDT60801","148.0179","-42.6621","2004"
"386","Orford","/products/IDT60801/IDT60801.95984.shtml","95984","IDT60801","147.8753","-42.5519","1951"
"387","Spring Bay","/products/IDT60801/IDT60801.95987.shtml","95987","IDT60801","147.9308","-42.5464","1991"
"388","St Helens","/products/IDT60801/IDT60801.95981.shtml","95981","IDT60801","148.2792","-41.3381","2001"
"389","Swansea","/products/IDT60801/IDT60801.94981.shtml","94981","IDT60801","148.0736","-42.1381","2011"
"390","Cape Bruny","/products/IDT60801/IDT60801.94967.shtml","94967","IDT60801","147.1453","-43.4892","1871"
"391","Cape Bruny AWS","/products/IDT60801/IDT60801.95967.shtml","95967","IDT60801","147.1444","-43.4886","1997"
"392","Campania","/products/IDT60801/IDT60801.95972.shtml","95972","IDT60801","147.4258","-42.6867","2000"
"393","Dennes Point","/products/IDT60801/IDT60801.94988.shtml","94988","IDT60801","147.3567","-43.0639","2012"
"394","Dover","/products/IDT60801/IDT60801.94961.shtml","94961","IDT60801","146.998","-43.333","1901"
"395","Dunalley","/products/IDT60801/IDT60801.94951.shtml","94951","IDT60801","147.7894","-42.9017","2012"
"396","Grove","/products/IDT60801/IDT60801.95977.shtml","95977","IDT60801","147.0742","-42.9858","2004"
"397","Hobart","/products/IDT60801/IDT60801.94970.shtml","94970","IDT60801","147.3278","-42.8897","1882"
"398","Hobart Airport","/products/IDT60801/IDT60801.94975.shtml","94975","IDT60801","147.5033","-42.8339","1958"
"399","kunanyi / Mount Wellington","/products/IDT60801/IDT60801.95979.shtml","95979","IDT60801","147.2358","-42.895","1961"
"400","Tasman Island","/products/IDT60801/IDT60801.95986.shtml","95986","IDT60801","148.0025","-43.2397","1977"
"401","Hartz Mountains","/products/IDT60801/IDT60801.94977.shtml","94977","IDT60801","146.7683","-43.2006","1994"
"402","Macquarie Island","/products/IDT60801/IDT60801.94998.shtml","94998","IDT60801","158.9369","-54.4994","1948"
"403","PWS C","/products/IDT60801/IDT60801.99142.shtml","99142","IDT60801","0","0","0"
"404","Charlton","/products/IDV60801/IDV60801.94839.shtml","94839","IDV60801","143.3341","-36.2847","2004"
"405","Hopetoun Airport","/products/IDV60801/IDV60801.94838.shtml","94838","IDV60801","142.3569","-35.7151","2004"
"406","Kerang","/products/IDV60801/IDV60801.94844.shtml","94844","IDV60801","143.9197","-35.7236","1880"
"407","Mildura","/products/IDV60801/IDV60801.94693.shtml","94693","IDV60801","142.0867","-34.2358","1946"
"408","Swan Hill","/products/IDV60801/IDV60801.94843.shtml","94843","IDV60801","143.5416","-35.3766","1996"
"409","Walpeup","/products/IDV60801/IDV60801.95831.shtml","95831","IDV60801","142.004","-35.1201","1939"
"410","Edenhope","/products/IDV60801/IDV60801.95832.shtml","95832","IDV60801","141.2657","-37.0222","2005"
"411","Horsham","/products/IDV60801/IDV60801.95839.shtml","95839","IDV60801","142.1731","-36.6697","1990"
"412","Kanagulk","/products/IDV60801/IDV60801.95827.shtml","95827","IDV60801","141.8031","-37.1169","2004"
"413","Longerenong","/products/IDV60801/IDV60801.95835.shtml","95835","IDV60801","142.2991","-36.6722","1860"
"414","Nhill Aerodrome","/products/IDV60801/IDV60801.94827.shtml","94827","IDV60801","141.6486","-36.3092","2003"
"415","Stawell","/products/IDV60801/IDV60801.94836.shtml","94836","IDV60801","142.7402","-37.072","1996"
"416","Warracknabeal","/products/IDV60801/IDV60801.94841.shtml","94841","IDV60801","142.405","-36.2614","1969"
"417","Warracknabeal Airport","/products/IDV60801/IDV60801.94920.shtml","94920","IDV60801","0","0","0"
"418","Ararat","/products/IDV60801/IDV60801.94834.shtml","94834","IDV60801","142.9786","-37.2769","1969"
"419","Ben Nevis","/products/IDV60801/IDV60801.94835.shtml","94835","IDV60801","143.2006","-37.2281","2007"
"420","Cape Nelson","/products/IDV60801/IDV60801.94826.shtml","94826","IDV60801","141.5437","-38.4306","1995"
"421","Cape Otway","/products/IDV60801/IDV60801.94842.shtml","94842","IDV60801","143.5128","-38.8556","1861"
"422","Casterton","/products/IDV60801/IDV60801.95825.shtml","95825","IDV60801","141.3339","-37.583","2005"
"423","Dartmoor","/products/IDV60801/IDV60801.95822.shtml","95822","IDV60801","141.2614","-37.9222","2009"
"424","Hamilton","/products/IDV60801/IDV60801.94829.shtml","94829","IDV60801","142.0636","-37.6486","1983"
"425","Mortlake","/products/IDV60801/IDV60801.94840.shtml","94840","IDV60801","142.7744","-38.0737","1990"
"426","Mount Gellibrand","/products/IDV60801/IDV60801.95845.shtml","95845","IDV60801","143.7925","-38.2333","2000"
"427","Mount William","/products/IDV60801/IDV60801.94833.shtml","94833","IDV60801","142.6039","-37.295","2005"
"428","Port Fairy","/products/IDV60801/IDV60801.94830.shtml","94830","IDV60801","142.2347","-38.3906","1990"
"429","Portland Airport","/products/IDV60801/IDV60801.94828.shtml","94828","IDV60801","141.4705","-38.3148","1982"
"430","Portland Harbour","/products/IDV60801/IDV60801.95826.shtml","95826","IDV60801","141.6136","-38.3439","1991"
"431","Warrnambool","/products/IDV60801/IDV60801.94837.shtml","94837","IDV60801","142.4522","-38.2867","1998"
"432","Westmere","/products/IDV60801/IDV60801.95840.shtml","95840","IDV60801","142.9378","-37.7067","2006"
"433","Aireys Inlet","/products/IDV60801/IDV60801.94846.shtml","94846","IDV60801","144.0883","-38.4583","1990"
"434","Avalon","/products/IDV60801/IDV60801.94854.shtml","94854","IDV60801","144.4783","-38.0287","1965"
"435","Ballarat","/products/IDV60801/IDV60801.94852.shtml","94852","IDV60801","143.7911","-37.5127","1908"
"436","Cerberus","/products/IDV60801/IDV60801.94898.shtml","94898","IDV60801","145.1785","-38.3646","1986"
"437","Coldstream","/products/IDV60801/IDV60801.94864.shtml","94864","IDV60801","145.4092","-37.7239","1994"
"438","Cranbourne","/products/IDV60801/IDV60801.94879.shtml","94879","IDV60801","145.2637","-38.1348","1990"
"439","Essendon Airport","/products/IDV60801/IDV60801.95866.shtml","95866","IDV60801","144.9066","-37.7276","1929"
"440","Fawkner Beacon","/products/IDV60801/IDV60801.95872.shtml","95872","IDV60801","144.9281","-37.9089","1988"
"441","Ferny Creek","/products/IDV60801/IDV60801.94872.shtml","94872","IDV60801","145.3496","-37.8748","2011"
"442","Frankston","/products/IDV60801/IDV60801.94871.shtml","94871","IDV60801","145.1156","-38.1481","1990"
"443","Geelong Racecourse","/products/IDV60801/IDV60801.94857.shtml","94857","IDV60801","144.3765","-38.1737","2011"
"444","Laverton","/products/IDV60801/IDV60801.94865.shtml","94865","IDV60801","144.7566","-37.8565","1941"
"445","Melbourne Airport","/products/IDV60801/IDV60801.94866.shtml","94866","IDV60801","144.8321","-37.6655","1970"
"446","Melbourne (Olympic Park)","/products/IDV60801/IDV60801.95936.shtml","95936","IDV60801","144.9816","-37.8255","2013"
"447","Moorabbin Airport","/products/IDV60801/IDV60801.94870.shtml","94870","IDV60801","145.0962","-37.98","1950"
"448","Pound Creek","/products/IDV60801/IDV60801.94886.shtml","94886","IDV60801","145.8107","-38.6297","2007"
"449","Rhyll","/products/IDV60801/IDV60801.94892.shtml","94892","IDV60801","145.3101","-38.4612","1990"
"450","Scoresby","/products/IDV60801/IDV60801.95867.shtml","95867","IDV60801","145.2561","-37.871","1948"
"451","Sheoaks","/products/IDV60801/IDV60801.94863.shtml","94863","IDV60801","144.1303","-37.9075","1990"
"452","South Channel Island","/products/IDV60801/IDV60801.94853.shtml","94853","IDV60801","144.8016","-38.3065","1975"
"453","St Kilda Harbour RMYS","/products/IDV60801/IDV60801.95864.shtml","95864","IDV60801","144.9639","-37.8642","2006"
"454","Viewbank","/products/IDV60801/IDV60801.95874.shtml","95874","IDV60801","145.0972","-37.7408","1999"
"455","Wonthaggi","/products/IDV60801/IDV60801.95881.shtml","95881","IDV60801","145.5965","-38.6078","1911"
"456","Bendigo","/products/IDV60801/IDV60801.94855.shtml","94855","IDV60801","144.3266","-36.7395","1991"
"457","Echuca","/products/IDV60801/IDV60801.94861.shtml","94861","IDV60801","144.7642","-36.1647","1859"
"458","Kyabram","/products/IDV60801/IDV60801.95833.shtml","95833","IDV60801","145.0638","-36.335","1964"
"459","Mangalore","/products/IDV60801/IDV60801.94874.shtml","94874","IDV60801","145.1859","-36.8886","1957"
"460","Redesdale","/products/IDV60801/IDV60801.94859.shtml","94859","IDV60801","144.5203","-37.0194","1903"
"461","Shepparton","/products/IDV60801/IDV60801.94875.shtml","94875","IDV60801","145.3947","-36.4289","1996"
"462","Strathbogie","/products/IDV60801/IDV60801.95843.shtml","95843","IDV60801","145.7308","-36.8472","1902"
"463","Tatura","/products/IDV60801/IDV60801.95836.shtml","95836","IDV60801","145.2672","-36.4378","1942"
"464","Yarrawonga","/products/IDV60801/IDV60801.94862.shtml","94862","IDV60801","146.0306","-36.0294","1993"
"465","Albury","/products/IDV60801/IDV60801.95896.shtml","95896","IDV60801","146.9509","-36.069","1993"
"466","Benalla","/products/IDV60801/IDV60801.94884.shtml","94884","IDV60801","145.9977","-36.5523","2006"
"467","Edi Upper","/products/IDV60801/IDV60801.95838.shtml","95838","IDV60801","146.4671","-36.7396","1985"
"468","Falls Creek","/products/IDV60801/IDV60801.94903.shtml","94903","IDV60801","147.2755","-36.8708","1990"
"469","Hunters Hill","/products/IDV60801/IDV60801.94878.shtml","94878","IDV60801","147.5394","-36.2136","1993"
"470","Lake Dartmouth","/products/IDV60801/IDV60801.94888.shtml","94888","IDV60801","147.4984","-36.5353","1918"
"471","Mount Buller","/products/IDV60801/IDV60801.94894.shtml","94894","IDV60801","146.4394","-37.145","1948"
"472","Mount Hotham Airport","/products/IDV60801/IDV60801.94905.shtml","94905","IDV60801","147.3347","-37.0491","2000"
"473","Mount Hotham","/products/IDV60801/IDV60801.94906.shtml","94906","IDV60801","147.1342","-36.9767","1990"
"474","Rutherglen","/products/IDV60801/IDV60801.95837.shtml","95837","IDV60801","146.5094","-36.1047","1913"
"475","Wangaratta","/products/IDV60801/IDV60801.94889.shtml","94889","IDV60801","146.3056","-36.4206","1987"
"476","Castlemaine","/products/IDV60801/IDV60801.95853.shtml","95853","IDV60801","144.2392","-37.0809","1966"
"477","Eildon Fire Tower","/products/IDV60801/IDV60801.94881.shtml","94881","IDV60801","145.8423","-37.2091","1995"
"478","Kilmore Gap","/products/IDV60801/IDV60801.94860.shtml","94860","IDV60801","144.9654","-37.3807","1993"
"479","Lake Eildon","/products/IDV60801/IDV60801.94882.shtml","94882","IDV60801","145.9124","-37.2313","1887"
"480","Maryborough","/products/IDV60801/IDV60801.94849.shtml","94849","IDV60801","143.732","-37.056","1878"
"481","Puckapunyal-Lyon Hill (Defence)","/products/IDV60801/IDV60801.94858.shtml","94858","IDV60801","0","0","0"
"482","Puckapunyal West (Defence)","/products/IDV60801/IDV60801.94856.shtml","94856","IDV60801","0","0","0"
"483","East Sale Airport","/products/IDV60801/IDV60801.95907.shtml","95907","IDV60801","0","0","0"
"484","Hogan Island","/products/IDV60801/IDV60801.94949.shtml","94949","IDV60801","146.9841","-39.2225","1988"
"485","Latrobe Valley","/products/IDV60801/IDV60801.94891.shtml","94891","IDV60801","146.4747","-38.2094","1984"
"486","Mount Baw Baw","/products/IDV60801/IDV60801.95901.shtml","95901","IDV60801","146.2747","-37.8383","1991"
"487","Mount Moornapa","/products/IDV60801/IDV60801.95913.shtml","95913","IDV60801","147.1428","-37.7481","1993"
"488","Warragul (Nilma North)","/products/IDV60801/IDV60801.99806.shtml","99806","IDV60801","145.9867","-38.1322","2014"
"489","Wilsons Promontory","/products/IDV60801/IDV60801.94893.shtml","94893","IDV60801","146.4244","-39.1297","1872"
"490","Yanakie","/products/IDV60801/IDV60801.94911.shtml","94911","IDV60801","146.1939","-38.8051","2013"
"491","Yarram Airport","/products/IDV60801/IDV60801.95890.shtml","95890","IDV60801","146.7479","-38.5647","2007"
"492","Bairnsdale","/products/IDV60801/IDV60801.94912.shtml","94912","IDV60801","147.5669","-37.8817","1942"
"493","Combienbar","/products/IDV60801/IDV60801.94914.shtml","94914","IDV60801","149.0228","-37.3417","1994"
