"SiteID","SensorID","UpperDepth","LowerDepth","DataType","StartDate","EndDate","TotalDays","IsActive","NumGaps","TotalGapDays","Gapiness","MinimumValue","MaximumValue","MeanValue","StandardDeviation","MetaDataHarvestDate"
"Cosmoz_3","Cosmoz3_SoilMoisture","0","300","Soil-Moisture","2011-05-16T00:00:00","2019-06-12T23:59:59",2949,TRUE,52,1114,37.7627118644068,1.6653,16.5662,6.89512944915254,3.46939728048353,2019-06-28
"Cosmoz_4","Cosmoz4_Rainfall","0","0","Rainfall","2011-10-01T00:00:00","2013-05-08T23:59:59",585,FALSE,2,48,8.19112627986348,0,125.8,1.18703703703704,7.50936450120673,2019-06-28
"Cosmoz_4","Cosmoz4_SoilMoisture","0","300","Soil-Moisture","2011-10-01T00:00:00","2013-05-08T23:59:59",585,FALSE,2,48,8.19112627986348,6.6857,96.3301,18.444502037037,8.52929710342276,2019-06-28
"Cosmoz_5","Cosmoz5_Rainfall","0","0","Rainfall","2011-05-12T00:00:00","2016-03-03T23:59:59",1757,FALSE,2,994,56.5415244596132,0,65.2,1.66657963446475,5.87582222739068,2019-06-28
"Cosmoz_5","Cosmoz5_SoilMoisture","0","300","Soil-Moisture","2011-05-12T00:00:00","2016-03-03T23:59:59",1757,FALSE,2,994,56.5415244596132,7.531,96.2237,42.6168912532637,14.2716389240441,2019-06-28
"Cosmoz_6","Cosmoz6_Rainfall","0","0","Rainfall","2010-10-28T00:00:00","2019-06-12T23:59:59",3149,TRUE,11,120,3.80952380952381,0,329,3.98105886221638,16.0751404695351,2019-06-28
"Cosmoz_6","Cosmoz6_SoilMoisture","0","300","Soil-Moisture","2010-10-28T00:00:00","2019-06-12T23:59:59",3149,TRUE,11,120,3.80952380952381,10.904,55.1443,29.0247575797435,7.31926155169187,2019-06-28
"Cosmoz_7","Cosmoz7_Rainfall","0","0","Rainfall","2013-05-17T00:00:00","2019-06-12T23:59:59",2217,TRUE,4,645,29.0802524797115,0,43,1.30171211160431,4.36910047320801,2019-06-28
"Cosmoz_7","Cosmoz7_SoilMoisture","0","300","Soil-Moisture","2013-05-17T00:00:00","2019-06-12T23:59:59",2217,TRUE,4,645,29.0802524797115,4.0356,54.4382,16.1375148383006,8.73778524471879,2019-06-28
"Cosmoz_8","Cosmoz8_Rainfall","0","0","Rainfall","2010-12-15T00:00:00","2019-05-20T23:59:59",3078,FALSE,2,71,2.3059434881455,0,93.6,1.35295681063123,5.26188027951043,2019-06-28
