System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2019-02-26 12:28:41,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:41,FANCY-DP,GET/__swagger__/swagger-ui.css,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:41,FANCY-DP,GET/__swagger__/swagger-ui-bundle.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:41,FANCY-DP,GET/__swagger__/swagger-ui-standalone-preset.js,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:41,FANCY-DP,GET/openapi.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:41,FANCY-DP,GET/__swagger__/favicon-32x32.png,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:28:50,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:30:01,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:30:31,FANCY-DP,GET/SensorAPI/getSensorInfo,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,,127.0.0.1 
2019-02-26 12:30:37,FANCY-DP,GET/SensorAPI/getSensorInfo,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583,127.0.0.1 
2019-02-26 12:33:18,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Wind-Speed,127.0.0.1 
2019-02-26 12:35:13,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Wind-Speed&startdate=%202018-04-20T09%3A00%3A00&enddate=%202018-04-21T09%3A00%3A00,127.0.0.1 
2019-02-26 12:35:35,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Wind-Speed&startdate=%202019-02-20T09%3A00%3A00&enddate=%202019-02-21T09%3A00%3A00,127.0.0.1 
2019-02-26 12:36:12,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Wind-Speed,127.0.0.1 
2019-02-26 12:38:18,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Wind-Speed&startdate=2018-09-20T20%3A30%3A18&enddate=2018-09-21T20%3A30%3A18,127.0.0.1 
2019-02-26 12:38:45,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/72.0.3626.119 Safari/537.36,?siteid=op33583&sensortype=Soil-Moisture&startdate=2018-09-20T20%3A30%3A18&enddate=2018-09-21T20%3A30%3A18,127.0.0.1 
