System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2018-09-11 14:56:16,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-09-11 14:56:18,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-09-11 14:56:37,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?sensortype=Rainfall,127.0.0.1 
2018-09-11 14:56:39,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?sensortype=Rainfall,127.0.0.1 
2018-09-11 14:57:30,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=op28962&sensortype=Rainfall,127.0.0.1 
2018-09-11 14:58:32,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=op28962&sensortype=Rainfall&startdate=%202018-04-20T09%3A00%3A00&enddate=%202018-05-20T09%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 14:59:01,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=op28962&sensortype=Rainfall&startdate=2018-04-20T09%3A00%3A00&enddate=2018-05-20T09%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 14:59:59,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=op28962&sensortype=Rainfall&startdate=2018-01-01T09%3A00%3A00&enddate=2018-05-20T09%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 15:01:55,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=op28962&sensortype=Rainfall&startdate=2018-01-01T00%3A00%3A00&enddate=2018-05-20T00%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 15:07:57,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-09-11 15:07:58,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-09-11 15:08:01,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op28962&sensortype=Rainfall&startdate=2018-01-01T00%3A00%3A00&enddate=2018-05-20T00%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 15:11:54,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op28962&sensortype=Rainfall&startdate=2018-01-01T00%3A00%3A00&enddate=2018-09-09T00%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 15:14:45,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op28962&sensortype=Rainfall&startdate=2018-01-01T00%3A00%3A00&enddate=2018-09-09T00%3A00%3A00&aggperiod=days,127.0.0.1 
2018-09-11 16:29:44,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-09-11 16:29:50,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-09-11 16:29:53,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,,127.0.0.1 
2018-09-11 16:29:53,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-09-11 16:30:16,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,?siteid=op28962,127.0.0.1 
2018-09-11 16:30:27,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,?siteid=op28962&sensortype=Rainfall,127.0.0.1 
2018-09-11 16:30:59,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/68.0.3440.106 Safari/537.36,?siteid=op28962&sensortype=Rainfall&aggperiod=days,127.0.0.1 
