System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2018-09-13 17:27:26,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-09-13 17:27:28,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-09-13 17:27:42,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?sensortype=Rainfall,127.0.0.1 
2018-09-13 17:27:43,FANCY-DP,GET/SensorAPI/getSensorLocationsAsMap,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?sensortype=Rainfall,127.0.0.1 
