System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2018-12-17 12:40:38,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 12:40:53,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 12:40:54,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,?schemes=http&host=127.0.0.1:8072&path=/,127.0.0.1 
2018-12-17 12:45:01,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 12:45:01,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,?schemes=http&host=127.0.0.1:8072&path=/,127.0.0.1 
2018-12-17 12:45:21,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 12:46:08,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 12:46:08,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=None&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 12:48:00,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 12:48:00,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=None&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 12:49:30,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 12:49:30,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=None&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 12:50:31,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:07:59,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:08:00,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,?schemes=http&host=127.0.0.1:8072&path=/,127.0.0.1 
2018-12-17 15:10:56,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:10:56,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:10:56,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:18:16,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:18:16,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:20:34,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:20:34,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:20:47,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:20:47,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:21:48,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:21:48,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:23:58,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:23:58,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:23:58,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:26:55,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:26:56,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:26:56,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:28:25,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:28:25,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:28:25,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:28:52,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:28:52,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:28:52,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:30:01,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:30:01,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:30:01,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:31:21,FANCY-DP,GET/SensorAPI/SensorFederationWebAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:31:21,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:31:21,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:31:51,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:32:44,FANCY-DP,GET/SensorAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:32:44,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:32:44,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:33:22,FANCY-DP,GET/SensorAPI/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:33:22,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:33:22,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:34:17,FANCY-DP,GET/SensorAPI/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:34:18,FANCY-DP,GET/favicon.ico,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:36:26,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:37:39,FANCY-DP,GET/SensorAPI/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:37:39,FANCY-DP,GET/favicon.ico,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:39:27,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/70.0.3538.110 Safari/537.36,,127.0.0.1 
2018-12-17 15:39:42,FANCY-DP,GET/SensorAPI//getSensorLocations,,,127.0.0.1 
2018-12-17 15:39:42,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:39:42,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:40:15,FANCY-DP,GET/SensorAPI//getSensorLocations,,,127.0.0.1 
2018-12-17 15:40:15,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:40:15,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:40:40,FANCY-DP,GET/SensorAPI//getSensorLocations,,,127.0.0.1 
2018-12-17 15:40:40,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:40:40,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:40:58,FANCY-DP,GET/SensorAPI//getSensorLocations,,,127.0.0.1 
2018-12-17 15:40:58,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:40:58,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 15:41:06,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 15:41:06,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 15:41:07,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:05:12,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:05:12,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:05:13,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:08:13,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:08:13,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:08:14,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:14:21,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:14:21,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:14:21,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:15:28,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:15:28,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:15:28,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:16:00,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:16:00,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:16:00,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
2018-12-17 16:17:25,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-17 16:17:25,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-17 16:17:26,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=op29597&sensortype=Rainfall&startdate=2018-10-17T23:59:59&enddate=2018-12-17T00:00:00&aggperiod=days,127.0.0.1 
