System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2018-12-13 13:11:59,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-12-13 13:12:02,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-12-13 13:12:14,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,,127.0.0.1 
2018-12-13 13:14:17,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=DAFWA_DP001&sensortype=Rainfall,127.0.0.1 
2018-12-13 14:57:47,FANCY-DP,GET/__swagger__/,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1,127.0.0.1 
2018-12-13 14:57:47,FANCY-DP,GET/swagger.json,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?viewer_pane=1?schemes=http&host=127.0.0.1:8070&path=/,127.0.0.1 
2018-12-13 14:58:15,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?format=csv,127.0.0.1 
2018-12-13 14:58:32,FANCY-DP,GET/SensorAPI/getSensorLocations,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,,127.0.0.1 
2018-12-13 14:59:42,FANCY-DP,GET/SensorAPI/getSensorDataStreams,Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/538.1 (KHTML like Gecko) rstudio Safari/538.1 Qt/5.4.1,?siteid=15117&sensortype=Rainfall,127.0.0.1 
