System_time,Server,Request_method,HTTP_user_agent,QUERY_STRING,REMOTE_ADDR
2018-12-18 12:18:10,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-18 12:18:10,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-18 12:20:33,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_21&sensortype=Soil-Moisture&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:20:54,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_12&sensortype=Soil-Moisture&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:22:05,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-18 12:22:05,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-18 12:22:05,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_1&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:23:26,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-18 12:23:27,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-18 12:23:27,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_1&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:26:45,FANCY-DP,GET/SensorAPI/getSensorLocations,,,127.0.0.1 
2018-12-18 12:26:45,FANCY-DP,GET/SensorAPI/getSensorInfo,,?siteid=VicAg_Youanmite,127.0.0.1 
2018-12-18 12:26:45,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_1&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:26:57,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_21&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:27:05,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_19&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:27:14,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_18&sensortype=Rainfall&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
2018-12-18 12:27:23,FANCY-DP,GET/SensorAPI/getSensorDataStreams,,?siteid=Cosmoz_18&sensortype=Soil-Moisture&startdate=2018-10-18T23:59:59&enddate=2018-12-18T00:00:00&aggperiod=days,127.0.0.1 
