SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_37,1,341,SFS62 - AWS Hagley_Soil-Moisture_600,2014-03-26T16:00:00.000Z,2016-05-13T02:59:39.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_36,1,342,SFS61 - AWS Campbell Town_Soil-Moisture_600,2013-06-13T17:45:00.000Z,2017-11-07T02:00:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_35,1,344,SFS54 - Hagley IrriCAC_Soil-Moisture_600,2016-06-09T08:07:49.000Z,2018-01-28T05:11:56.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_24,1,338,SFS58 - Hensley Park_Soil-Moisture_600,2013-09-10T23:53:16.000Z,2019-06-19T15:00:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_53,1,346,SFS103 - Mt Gow_Soil-Moisture_600,2017-04-24T03:00:00.000Z,2018-08-17T03:45:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_16,1,349,SFS106 - Mount Wallace_Soil-Moisture_600,2017-05-22T04:30:00.000Z,2018-08-23T01:30:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_54,1,352,SFS108 - Mannibadar_Soil-Moisture_600,2017-06-01T10:00:00.000Z,2018-10-08T06:00:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_72,1,353,SFS110 - Lindenow Flats_Soil-Moisture_600,2017-08-31T14:15:00.000Z,2018-07-28T01:15:31.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_51,1,354,SFS55 - Campbell Town_Soil-Moisture_600,2017-11-16T03:45:00.000Z,2017-11-30T21:45:00.000Z,Soil-Moisture,600,600,TRUE,mm
SFS_66,1,356,SFS2 - Yatchaw_Soil-Moisture_700,2012-09-04T01:54:46.000Z,2018-12-11T04:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_26,1,360,SFS3 - Winchelsea1_Soil-Moisture_700,2013-05-04T15:00:00.000Z,2018-11-13T07:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_27,1,361,SFS6 - Lake Bolac2_Soil-Moisture_700,2012-08-29T05:15:00.000Z,2015-04-01T02:08:57.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_77,1,362,SFS7 - Benham_Soil-Moisture_700,2013-05-23T06:45:12.000Z,2013-05-23T06:45:12.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_17,1,364,SFS11 - Ballan1_Soil-Moisture_700,2013-11-14T14:00:00.000Z,2018-08-23T02:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_9,1,238,SFS27 - Mininera_Soil-Moisture_500,2013-05-02T14:15:00.000Z,2019-07-14T23:45:00.000Z,Soil-Moisture,500,500,TRUE,mm
SFS_32,1,371,SFS33 - Dutson Downs_Soil-Moisture_700,2013-04-30T14:15:00.000Z,2017-07-30T06:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_55,1,373,SFS16 - Skipton_Soil-Moisture_700,2013-12-03T12:00:00.000Z,2018-10-07T20:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_28,1,376,SFS20 - Inverleigh1_Soil-Moisture_700,2013-04-23T14:15:00.000Z,2017-04-04T04:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_31,1,378,SFS30 - Lidenow_Soil-Moisture_700,2013-04-30T14:15:00.000Z,2017-05-04T22:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_7,1,379,SFS29 - Meerlieu_Soil-Moisture_700,2014-03-26T16:00:00.000Z,2015-07-10T07:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_30,1,380,SFS28 - Derrinallum3_Soil-Moisture_700,2013-04-24T14:15:00.000Z,2017-04-19T07:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_65,1,385,SFS34 - Rosedale_Soil-Moisture_700,2014-03-26T16:00:00.000Z,2018-08-02T02:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_29,1,387,SFS26 - Winchelsea2_Soil-Moisture_700,2013-05-09T14:15:00.000Z,2017-04-03T22:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_56,1,393,SFS45 - Learmonth_Soil-Moisture_700,2013-06-20T14:15:00.000Z,2017-03-26T23:45:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_49,1,397,SFS51 - Longford_Soil-Moisture_700,2014-07-02T14:00:00.000Z,2018-06-19T00:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_50,1,399,SFS52 - Nile_Soil-Moisture_700,2013-06-28T04:30:00.000Z,2016-07-15T05:38:27.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_5,1,400,SFS44  - Willaura_Soil-Moisture_700,2014-03-26T16:00:00.000Z,2014-08-04T02:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_34,1,401,SFS53 - Western Junction_Soil-Moisture_700,2013-09-03T23:30:00.000Z,2014-04-06T06:50:47.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_8,1,402,SFS54 - Lake River Cressy_Soil-Moisture_700,2014-03-26T16:00:00.000Z,2014-08-14T02:56:01.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_57,1,403,SFS48 - Ballan2_Soil-Moisture_700,2014-08-08T05:07:56.000Z,2016-10-10T20:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_19,1,404,SFS40 - Balliang East_Soil-Moisture_700,2013-09-02T02:48:10.000Z,2017-03-26T23:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_18,1,405,SFS39 - Lake Bolac3_Soil-Moisture_700,2013-09-06T00:21:45.000Z,2017-04-18T01:40:16.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_76,1,406,SFS17 - Woorndoo (2)_Soil-Moisture_700,2013-09-12T14:15:00.000Z,2018-04-16T23:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_70,1,408,SFS49 - Cavendish_Soil-Moisture_700,2013-09-11T01:48:36.000Z,2017-04-05T23:15:00.000Z,Soil-Moisture,700,700,TRUE,mm
