SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units,IsActive
BoMLatest_95570_IDN60801,1,press,95570_Atmospheric-Pressure,1973-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95570_IDN60801,1,rain_trace,95570_Rainfall,1973-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95570_IDN60801,1,rel_hum,95570_Humidity,1973-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95570_IDN60801,1,wind_spd_kmh,95570_Wind-Speed,1973-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94572_IDN60801,1,air_temp,94572_Temperature,2002-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94572_IDN60801,1,press,94572_Atmospheric-Pressure,2002-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94572_IDN60801,1,rain_trace,94572_Rainfall,2002-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94572_IDN60801,1,rel_hum,94572_Humidity,2002-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94572_IDN60801,1,wind_spd_kmh,94572_Wind-Speed,2002-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94582_IDN60801,1,air_temp,94582_Temperature,1972-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94582_IDN60801,1,press,94582_Atmospheric-Pressure,1972-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94582_IDN60801,1,rain_trace,94582_Rainfall,1972-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94582_IDN60801,1,rel_hum,94582_Humidity,1972-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94582_IDN60801,1,wind_spd_kmh,94582_Wind-Speed,1972-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94589_IDN60801,1,air_temp,94589_Temperature,1877-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94589_IDN60801,1,press,94589_Atmospheric-Pressure,1877-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94589_IDN60801,1,rain_trace,94589_Rainfall,1877-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94589_IDN60801,1,rel_hum,94589_Humidity,1877-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94589_IDN60801,1,wind_spd_kmh,94589_Wind-Speed,1877-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95729_IDN60801,1,air_temp,95729_Temperature,2013-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95729_IDN60801,1,press,95729_Atmospheric-Pressure,2013-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95729_IDN60801,1,rain_trace,95729_Rainfall,2013-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95729_IDN60801,1,rel_hum,95729_Humidity,2013-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95729_IDN60801,1,wind_spd_kmh,95729_Wind-Speed,2013-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94789_IDN60801,1,air_temp,94789_Temperature,1996-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94789_IDN60801,1,press,94789_Atmospheric-Pressure,1996-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94789_IDN60801,1,rain_trace,94789_Rainfall,1996-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94789_IDN60801,1,rel_hum,94789_Humidity,1996-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94789_IDN60801,1,wind_spd_kmh,94789_Wind-Speed,1996-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95778_IDN60801,1,air_temp,95778_Temperature,1896-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95778_IDN60801,1,press,95778_Atmospheric-Pressure,1896-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95778_IDN60801,1,rain_trace,95778_Rainfall,1896-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95778_IDN60801,1,rel_hum,95778_Humidity,1896-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95778_IDN60801,1,wind_spd_kmh,95778_Wind-Speed,1896-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94785_IDN60801,1,air_temp,94785_Temperature,2001-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94785_IDN60801,1,press,94785_Atmospheric-Pressure,2001-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94785_IDN60801,1,rain_trace,94785_Rainfall,2001-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94785_IDN60801,1,rel_hum,94785_Humidity,2001-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94785_IDN60801,1,wind_spd_kmh,94785_Wind-Speed,2001-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94783_IDN60801,1,air_temp,94783_Temperature,1949-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94783_IDN60801,1,press,94783_Atmospheric-Pressure,1949-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94783_IDN60801,1,rain_trace,94783_Rainfall,1949-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94783_IDN60801,1,rel_hum,94783_Humidity,1949-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94783_IDN60801,1,wind_spd_kmh,94783_Wind-Speed,1949-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94786_IDN60801,1,air_temp,94786_Temperature,1995-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
